Titel,Slug/Item ID,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Namn,Sub-namn??,Bild på vinflaska,Årgång,Typ,Pris,Producent,Druva,Ursprung,Författare,Land,sortiment,Länk till systembolaget,Kort beskrivning,Recension,Intensitet (utseende),Färg,Intensitet (doft),Karaktär (doft),Sötma,Syra,Tanniner,Alkohol,Fyllighet,Intensitet (smak),Karaktär (smak),Avslut,Kvalité,Vinakademins betyg,Lagringsbar?
En gömd juvel,2077,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,6341f5202e9da79b5760ac76,false,false,Sat Oct 08 2022 22:09:36 GMT+0000 (Coordinated Universal Time),Fri Oct 21 2022 18:53:18 GMT+0000 (Coordinated Universal Time),Fri Oct 21 2022 18:53:18 GMT+0000 (Coordinated Universal Time),Copertino,Riserva,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/6341f5202e9da74a8a60ac68_0Kt4d5oc_Na_77QpNhLbdBiyFT4mwkGBj3FU5yaBOaQ.png,2013,Rött vin,99,Cantina Sociale Copertino,Negroamaro,apulien-copertino,Fredrik-Gustafson,Italien,Fast sortiment,https://www.systembolaget.se/produkt/vin/copertino-207701/,Aldrig någonsin har jag druckit ett rött vin för 99:- som har så hög kvalité som detta. Hur går det ihop?!,"<p>När jag köpte den här flaskan var jag grovt skeptisk. Ett rött vin från 2013 som kostade 99:-? Det var för bra för att vara sant, vinet kan inte smaka bra.</p><p>Men!</p><p>Mot min förvånad - vinet var faktiskt gott! Det har intressant karaktär från den längre lagringstiden, både på doft och smak. Detta är ett vin som man kan lura folk att det kostar mycket, mycket mer än vad det gör. Jag kommer definitivt att köpa detta igen. Ett perfekt vin att ha några flaskor av hemma.</p>",mellan,rubinröd,mellan,bjornbar; lader,torr,mellan,mellan,mellan,mellan,mellan,bjornbar; morka-plommon; lader; rott-vin-torkad-frukt,mellan,bra,72,
Ett pang-vin men inte ett wow-vin,2525,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,6348659bca10998a6d1da3cc,false,false,Thu Oct 13 2022 19:23:07 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 19:17:39 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 19:17:44 GMT+0000 (Coordinated Universal Time),Baron de Lay,Reserva,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/63485d16ef03c0a1c1251ab0_1825_400.png,2017,Rött vin,119,Baron de Ley,tempranillo; garnacha,rioja,Max-Eriksson,Spanien,Fast sortiment,https://www.systembolaget.se/produkt/vin/baron-de-ley-252501/,Pangigt och prisvärt. Rioja är höstens dryck.,"<p>Ett spanskt vin från Rioja. Rioja är Spaniens mest kända vinregionen och ligger norrut i landet. Vinet härifrån är ofta ""panging"" och så även i det här fallet. Råvarorna är 90% tempranillo och 10% garnacha, vilka får ses so klassiska druvor i Spanien. Ett rätt klassisk vin på många sätt. </p><p>Kraftigt vin som är lite stöddig i smaken. Strävt med smaker som svarta vinbär, körsbär och ek. Lite tufft att inta för sig självt men passar bra med en lagrad manchego.</p>",mellan,rubinröd,markant,roda-korsbar; ceder; vanilj; viol; kryddnejlika,torr,mellan,mellan,hög,tjock,mellan,ceder; vanilj; morka-korsbar; svarta-vinbar,mellan,bra,75,
En klassisk Pinot Noir!,6292,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,634589d4bc4d8ac7eadb7306,false,false,Tue Oct 11 2022 15:20:52 GMT+0000 (Coordinated Universal Time),Sat Nov 26 2022 16:43:24 GMT+0000 (Coordinated Universal Time),Sat Nov 26 2022 16:43:28 GMT+0000 (Coordinated Universal Time),Gardo & Morris,Pinot Noir,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/634589d4bc4d8a47f7db72ba_832201_400.png,2020,Rött vin,125,Gardo Morris Wines,Pinot-Noir,Marlborough,Max-Eriksson,Nya Zeeland,Fast sortiment,https://www.systembolaget.se/produkt/vin/gardo-morris-629201/,"En prisvärd Pinot Noir från Marlborough, smakar som väntat.","<p id="""">Druvan är pinot noir och är plockad från Nya Zeelands kända vinområde Marlborough.</p><p id="""">Gardo &amp; Morris smakar som en klassisk Pinot Noir. Druvorna är maskin plockade och vinet &nbsp;ekfatslagrat i 12 månader på franska fat á 228 liter. Lätt, len med en hög syra. Aromatiskt bra. Jordgubb, körsbär och lätta toner av ek. Spelet på tungan håller i sig en period efter dropparna rört sig mot nästa anhalt.</p>",mellan,rubinröd,mellan,jordgubbe; roda-korsbar,torr,hög,låg,mellan,tunn,mellan,jordgubbe; roda-korsbar; ceder,mellan,bra,73,
Barbera på en budget,71596,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,6341eebab5ba945edbc534fc,false,false,Sat Oct 08 2022 21:42:18 GMT+0000 (Coordinated Universal Time),Sun Oct 16 2022 18:19:57 GMT+0000 (Coordinated Universal Time),Sun Oct 16 2022 18:55:26 GMT+0000 (Coordinated Universal Time),Raimonda,Barbera d'Alba,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/6341eebab5ba942e61c5347c_14618558_400.png,2020,Rött vin,115,FontanaFredda,barbera,barbera-dalba-piemonte,Fredrik-Gustafson,Italien,Fast sortiment,https://www.systembolaget.se/produkt/vin/raimonda-7159601/,Piemontes kanske lite mindre kända pärla - Barbera. FontanaFredda är en gigantisk producent som levererar ett stabilt vin till ett bra pris.,"<p>Piemontes kanske lite mindre kända pärla - Barbera. FontanaFredda är en gigantisk producent som levererar ett stabilt vin till ett bra pris.</p><p>För ynka 115 kronor levererar detta vin en stor smakupplevelse. Det är en otroligt bra ingång till Piemonte om du är nyfiken på att utforska en av Italiens mest omtalade vinregioner.</p><p>När jag smakade detta vinet påminde det mig om den GIGANTISKA skillnaden som dekantering kan göra. Om du köper detta vin MÅSTE du dekantera innan du dricker. Att dekantera är egentligen bara att hälla upp vinet i en annan behållare för att få in mer syre i vinet. Jag skulle rekommendera att dubbeldekantera just denna flaska, alltså att hälla vinet mellan två behållare några gånger för att få in mycket syre. Man kan uppnå samma sak genom att lämna vinet öppet i några timmar - men varför göra det när man kan få samma resultat på 2 minuter?</p><p>Ska du bara dricka ett glas? Häll vinet mellan två glas några gånger för att uppnå samma effekt!</p>",mellan,rubinröd,lätt,roda-korsbar,torr,hög,mellan,mellan,mellan,mellan,hallon; roda-korsbar,mellan,bra,71,
Ett rödtjut som imponerar,73142,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,634a949e6668dd124b7b736f,false,false,Sat Oct 15 2022 11:08:14 GMT+0000 (Coordinated Universal Time),Sun Oct 16 2022 18:48:34 GMT+0000 (Coordinated Universal Time),Sun Oct 16 2022 18:55:26 GMT+0000 (Coordinated Universal Time),Gérard Bertrand Château L'Hospitalet,La Réserve Rouge,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/634a8be7c8b9e21f337c3432_673234_400.png,2020,Rött vin,189,Gérard Bertrand,syrah; grenache; mourvedre,languedoc-roussillon,Fredrik-Gustafson,Frankrike,Fast sortiment,https://www.systembolaget.se/produkt/vin/gerard-bertrand-chteau-lhospitalet-7314201/,"Kraftigt ekfatslagrad, men ändå så rund och mjuk smak. Det här vinet levererar lyx till ett billigt pris.","<p>Det här vinet doftar ljuvlig vanilj och ek. I&nbsp;munnen är det runt och balanserat. Tanninerna är inte over the top, men vinet passar sig absolut bäst med en bit mat. Köp detta vinet till nästa köttbit och jag lovar att du ej kommer bli missnöjd. </p>",mellan,rubinröd,mellan,vanilj; ceder; morka-plommon; svart-vitpeppar,torr,hög,mellan,mellan,mellan,markant,morka-plommon; vanilj; ceder; choklad,mellan,mycket bra,82,
Äntligen en prisvärd sangiovese,73684,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,6341bb206a7c84ead48c1e01,false,false,Sat Oct 08 2022 18:02:08 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:11:43 GMT+0000 (Coordinated Universal Time),Thu Dec 01 2022 17:11:43 GMT+0000 (Coordinated Universal Time),Il Segreto,Sangiovese,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/6341bb206a7c8476be8c1e00_3992170_400.png,2019,Rött vin,119,Poggio Fiore,sangiovese,Marche,Fredrik-Gustafson,Italien,Fast sortiment,https://www.systembolaget.se/produkt/vin/il-segreto-7368401/,"Länge har jag letat efter en sangiovese värd pengarna, och äntligen är jag i hamn.","<p id="""">Marche ligger i centrala Italien och precis öst om Toscana. Vinet är gjort på enbart sangiovesedruvan - antagligen Italiens mest kända druva. På sangiovese görs viner i alla olika prisklasser, från Italiens finaste Brunello di Montalcino till viner som kostar bara 10kr/flaskan (hittas tyvärr bara i butiker i Italien). </p><p id="""">Under det senaste året har jag hört många stora vinprofiler prata enormt gott om sangiovesedruvan. Vissa säger att det är den perfekta vindruvan, deras favorit, och att det är en skam att blanda den med andra druvor.</p><p id="""">Min nyfikenhet har lett mig till att testa många av de sangiovesevinerna som Systembolaget har på sitt fasta sortiment. Men gång på gång har jag blivit besviken. Många av vinerna har extremt aggressiva tanniner (det där som känns som att du slickar på slippapper), smakar mest alkohol och är generellt obalanserade.</p><p id="""">Men nu, tror jag att jag äntligen förstår grejen. Il Segreto är välbalanserad, har mycket intressant karaktär på doften och är ljuvlig i munnen.</p><p id="""">Detta skulle jag defintivt kunna ha som bordsvin här hemma.</p>",mellan,rubinröd,mellan,lakrits,torr,hög,mellan,mellan,mellan,mellan,roda-korsbar; roda-plommon; svart-vitpeppar; lakrits,mellan,bra,81,
Veuve Clicquot,7424,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,634589d604961b4d3bbf3b57,false,false,Tue Oct 11 2022 15:20:54 GMT+0000 (Coordinated Universal Time),Sat Nov 26 2022 16:36:08 GMT+0000 (Coordinated Universal Time),Sat Nov 26 2022 16:36:13 GMT+0000 (Coordinated Universal Time),Veuve Clicquot,Brut Gula Änkan,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/634589d604961bc974bf3b51_3955_400.png,NV,Mousserande vin,499,Veuve Clicquot,Pinot-Noir; pinot-meunier; Chardonnay,champagne,Max-Eriksson,Frankrike,Fast sortiment,https://www.systembolaget.se/produkt/vin/veuve-clicquot-742401/,"Gulan änkan är det erkända namnet. Gul är ful brukar man ju säga. Men det stämmer väl inte här, eller?","<p>En champagne som är gjord på druvorna pinot noir, chardonnay och pinot meunier. Lagrad minst tolv månader på sin jästfällning och sedan tre månader på sin läckra flaska. Vi på Vinakademin diggar denna Non-vintage champagne, som klassas som en av de stora. Smakerna är klassiska, det finns en hög syra och hög smakintensitet. Vi finner smaker som bröd, citrus, gröna äpplen. En intensiv citrus färg och tilltalande doft som skriker champagne. Efter darret är långt och ljuvligt. </p><p>Det är inte vår favorit NV champagne från Systembolagets standardsortiment, lite för enkel i smaken och det går att ifrågasätta om den är värt sitt pris? Vi säger nej. Oavsett borde det vara en prioritet att prova alla kända NV champagner innan ljusets släcks. Skål!</p>",mellan,citrongul,mellan,brod; apple; grapefrukt,torr,hög,låg,låg,tunn,mellan,,lång,mycket bra,71,
En blance de Noir från Sydafrika,7628,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,6336f3b03eb1e1237e8c8397,false,false,Fri Sep 30 2022 13:48:31 GMT+0000 (Coordinated Universal Time),Wed Dec 28 2022 11:21:52 GMT+0000 (Coordinated Universal Time),Wed Dec 28 2022 11:22:00 GMT+0000 (Coordinated Universal Time),Pongrácz,Brut,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/6336e14d1382335e63a25a07_10534_400.png,2020,Mousserande vin,125,Bergkelder,Pinot-Noir; Chardonnay,Western-Cape,Max-Eriksson,Sydafrika,Fast sortiment,https://www.systembolaget.se/produkt/vin/pongrcz-762801/,En Blance de Noir som får det att spritta i kroppen.,"<p id="""">Pongrácz är ännu ett exempel på att sydafrika vet hur man göra exemplariskt vin. Mer specifikt är druvorna från flera olika vinområden kring kapstaden och gjort på 63% pinot noir och 37% chardonnay. Att det är mestadels en blå druva gör vinet till en Blance de Noir, vilket visar sig i färg och smak.</p><p id="""">Vinet är gjort enligt Méthode Cap Classique, alltså den klassisk flaska metoden, samma metod som används vid tillverkning av champagne. Aromerna innehåller smaker som kex och honung. Syra är on-top och helheten får en att höja på ögonbrynen. Magnifique!</p>",mellan,guld,mellan,apple; persika,torr,hög,låg,mellan,mellan,mellan,apelsin; citron; brod; kex,lång,mycket bra,86,
En vattendelare i vinvärlden,76671,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,632f954e03997d7d79f8f901,false,true,Sat Sep 24 2022 23:39:58 GMT+0000 (Coordinated Universal Time),Sun Dec 22 2024 10:52:04 GMT+0000 (Coordinated Universal Time),Wed Nov 30 2022 21:18:15 GMT+0000 (Coordinated Universal Time),Bread&Butter,Pinot Noir,https://cdn.prod.website-files.com/62bde72a3afae280fa750baa/632f954e03997d43d4f8f8fb_631357fb2e50ce90b9a1eb93_24504503_4001.webp,2020,Rött vin,169,WX Brands,Pinot-Noir,Napa-valley,Max-Eriksson,USA,Fast sortiment,https://www.systembolaget.se/produkt/vin/breadbutter-7667101/,Om det är något som delar vinvärlden i två - så är det nya och gamla världen.,"<p id="""">Landet är Amerikat och pratar vi delstater hamnar vi i Kalifornien. Druvan är pinot noir och vinet är lagrat på franska och amerikanska ekfat. </p><p id="""">Bread&amp;Butters pinot noir skulle kunna klassas som en riktigt vattendelare i vinvärlden, vissa lamslagna medan andra inte förstår hypen. För mig är det inga tvivel - Bread&amp;Butter for the win! Ett josigt vin med smaker av sommarbär, som skogshallon och jordgubbar. Till det ackompanjera en nyanserad fatkaraktär med en elegant touch av vanilj. Vad mer kan man begära? Fin flarra och goda smaker. Perfekt för den som inte är helt rödvins tokig, om de nu existerar. </p>",blek,rubinröd,markant,jordgubbe; vanilj,torr,hög,låg,låg,mellan,mellan,jordgubbe; vanilj; hallon,lång,mycket bra,86,
Klassisk crémant,7688,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,634c4e1f453d982e75b01e2b,false,false,Sun Oct 16 2022 18:31:58 GMT+0000 (Coordinated Universal Time),Wed Dec 21 2022 15:47:34 GMT+0000 (Coordinated Universal Time),Wed Dec 21 2022 15:47:34 GMT+0000 (Coordinated Universal Time),Louis Bouillot,Crémant de Bourgogne Brut,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/634c4bc842850292ff5c5aae_42360_400.png,NV,Mousserande vin,139,Louis Bouillot,Pinot-Noir; Chardonnay; gamay; aligote,bourgogne,Fredrik-Gustafson,Frankrike,Fast sortiment,https://www.systembolaget.se/produkt/vin/louis-bouillot-768801/,"Frisk, mycket äpple och lite brödighet. Crémant de Bourgogne är Champagnens lillebror - och den smakar därefter!",,blek,citrongul,mellan,apple; brod,torr,mellan,låg,låg,tunn,mellan,apple,kort,bra,78,"Nej, drick direkt"
Campo viejo,7782,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,634589d7bbf4e91b8f6ee97e,false,false,Tue Oct 11 2022 15:20:55 GMT+0000 (Coordinated Universal Time),Fri Jun 30 2023 14:04:10 GMT+0000 (Coordinated Universal Time),Fri Jun 30 2023 14:04:10 GMT+0000 (Coordinated Universal Time),Campo Viejo,Cava Brut Reserva,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/634589d7bbf4e9723f6ee948_643240_400.png,NV,Mousserande vin,95,Bodegas Domecq,Macabeo; xarel-lo; Parellada,Katalonien,Max-Eriksson,Spanien,Fast sortiment,https://www.systembolaget.se/produkt/vin/campo-viejo-778201/,"Campo viejo eller ”en riktigt prisvärd cava”, som den också kallas.","<p id="""">Den största delen av Cava är från Katalonien, så även den här. Druvorna är Macabeo, xarel-lo och parellada, vilket är tre av de totalt nio olika druvorna som det måste vara för att få kallas Cava. För att få kallas Cava måste det har lagrats på sin jästfällning i minst 9 månader. Den här godingen har lagrats i 18 månader.</p><p id="""">Campo viejo var en av de första flaskorna jag, redan som ungdom, förstod var lite bättre bubbel bland lågprisarna. Den var bördig och tillverkades på samma sätt som champagne (vilket jag inte hade en aning om då). Håller den måttet än? Jo för tusan! För ynka 89 kr får du mycket bubblor för pengarna, brödigt , medium syra, sötma, äpple och lite stenfrukt. Vad saknas? Mer syra och mer efterspel men annars fint, fint! Så för en god vana vidare och tips någon som borde dricka mer bubblor om denna klassiker.</p>",mellan,citrongul,mellan,,torr,mellan,låg,låg,tunn,mellan,,mellan,bra,72,
Bubbel från Tasmanien!?,7957,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,634c5138453d98de29b057fe,false,false,Sun Oct 16 2022 18:45:12 GMT+0000 (Coordinated Universal Time),Sun Oct 16 2022 22:08:38 GMT+0000 (Coordinated Universal Time),Sun Oct 16 2022 22:08:38 GMT+0000 (Coordinated Universal Time),Jansz,Vintage Cuvée,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/634c80c73e23cc4b50d31c3b_24663265_400.png,2017,Mousserande vin,329,Jansz Tasmania,Chardonnay; Pinot-Noir,tasmanien,Fredrik-Gustafson,Australien,Fast sortiment,https://www.systembolaget.se/produkt/vin/jansz-vintage-cuvee-9447301/,"En väldigt unik doft, som absolut inte föll mig i smaken. Själva vinet smakar mer som vanligt bubbel, mycket äpple och lite brödighet.","<p id="""">En väldigt unik doft, som absolut inte föll mig i smaken. Själva vinet smakar mer som vanligt bubbel, mycket äpple och lite brödighet.</p><p>‍</p>",blek,citrongul,mellan,kokt-frukt; brod,torr,mellan,låg,låg,tunn,mellan,apple; brod,mellan,bra,62,
En bra present,8000,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,6342b6140f5b732f26e570b8,false,false,Sun Oct 09 2022 11:52:52 GMT+0000 (Coordinated Universal Time),Mon Dec 19 2022 22:28:25 GMT+0000 (Coordinated Universal Time),Mon Dec 19 2022 22:34:44 GMT+0000 (Coordinated Universal Time),Graham's,Late Bottled Vintage,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/6342b1455d6c770c29290097_8183_800.png,1994,Starkvin,???,Graham's,Touriga-franca; Touriga-nacional; tinta-amarela; Tinta-barroca,Douro-porto,Fredrik-Gustafson,Portugal,Utgått,https://www.systembolaget.se/produkt/vin/grahams-800001/,Detta portvin fick jag när jag var ett litet barn. Mina föräldrar har lagrat den åt mig hela mitt liv. Det krävdes en viktig tidpunkt i mitt liv för att öppna och njuta av detta vin.,"<p>Detta portvin fick jag när jag var ett litet barn. Mina föräldrar har lagrat den åt mig hela mitt liv. Det krävdes en viktig tidpunkt i mitt liv för att öppna och njuta av detta vin.</p><p>Men till slut så blev det mer att jag behövde en tillräckligt bra ursäkt för att dricka vinet, eftersom drickfönstret var på väg att ta slut. Det vill säga - den var just nu i sina bästa år att drickas, men väntade jag längre fanns det risk att den blev för gammal.</p><p>Tur nog uppstod en väldigt spännande tidpunkt i mitt liv - Vinakademin lanserades!</p><p>Jag och min medgrundare Max korkade upp och avnjöt denna flaska på vår &quot;pre-launch&quot; - då hemsidan var live för första gången!</p><p>Vinet var otroligt ljuvligt. Så extremt välbalanserat med väldigt intressanta aromer. En som stack ut för mig var lakrits. Jag gillar egentligen inte ens lakrits - men i detta vinet kunde jag inte få nog.</p>",djup,rubinröd,markant,rott-vin-torkad-frukt; hallon; roda-plommon,söt,hög,mellan,mellan,tjock,markant,rott-vin-torkad-frukt; hallon; lakrits; svart-vitpeppar; roda-plommon,lång,mycket bra,94,
Alpha med stort A,alpha-med-stort-a,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,63cd9f1511d81cb2267a0b6f,false,false,Sun Jan 22 2023 20:39:49 GMT+0000 (Coordinated Universal Time),Sun Jan 22 2023 20:41:23 GMT+0000 (Coordinated Universal Time),Sun Jan 22 2023 20:41:35 GMT+0000 (Coordinated Universal Time),Amarone A,Alpha Zeta,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/63cd9710096eeb483daec4bb_272067_800.png,2019,Rött vin,211,Alpha Zeta,corvina-veronese; rondinella; cabernet-sauvignon,valpolicella,Max-Eriksson,Italien,Fast sortiment,https://www.systembolaget.se/produkt/vin/amarone-a-1234301/,I prisklassen runt 200kr hävdar vi att Amarone A från Alpha Zeta är bäst i sin klass,"<p id="""">Ett Amarone vin kommer alltid från regionen Valpolicella som ligger i nordöstra Italien, det gäller även den här godingen från producenten Alpha Zeta. Druvorna som blandas ihop till denna trevlig druvjuice är 70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.</p><p id="""">Amarone A är en flaska som jag ofta återkommer till. Inför just den här recensionen var vi några vänner som gjorde en blind-provning mellan ett par olika Amarone. När det skulle röstas på den godaste flaskan var beslutet enhälligt: Amarone A hade kammat hem en majoritet av rösterna. Vinet har klassisk Amarone karaktär. Det är fylligt, lent och toner av körsbär, russin, plommon, choklad och vanilj. </p>",djup,lila,markant,morka-korsbar; vanilj,halvtorr,mellan,mellan,hög,tjock,markant,morka-korsbar; morka-plommon; choklad; vanilj,lång,mycket bra,91,"Ja, 1-10 år"
Anrik producent från Rhône,anrik-producent-fran-rhone,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,65fca3837edf5724ae1b5375,false,false,Thu Mar 21 2024 21:15:47 GMT+0000 (Coordinated Universal Time),Fri Mar 22 2024 10:00:50 GMT+0000 (Coordinated Universal Time),Fri Mar 22 2024 10:01:04 GMT+0000 (Coordinated Universal Time),Côtes-du-Rhône,,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/65fd56cfb996965fa0389aef_E.guigal.png,2020,Rött vin,149,E Guigal,syrah,cotes-du-rhone,Max-Eriksson,Frankrike,Fast sortiment,https://www.systembolaget.se/produkt/vin/cotes-du-rhone-201101/,,"<p>Kryddig smak med inslag av fat, björnbär, lagerblad, örter, skogshallon, nougat, vitpeppar, viol och lakrits</p>",,,,,,,,,,,,,,85,
"Barolo, baby",barolo-baby,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,63d415fba407dea055964a7b,false,false,Fri Jan 27 2023 18:20:43 GMT+0000 (Coordinated Universal Time),Fri Jan 27 2023 18:20:43 GMT+0000 (Coordinated Universal Time),Fri Jan 27 2023 18:20:43 GMT+0000 (Coordinated Universal Time),Barolo Albe,G.D. Vajra,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/63d41290887399ea338be37a_676892_400.png,2019,Rött vin,281,G.D. Vajra,nebbiolo,barolo-piemonte,Fredrik-Gustafson,Italien,Fast sortiment,https://www.systembolaget.se/produkt/vin/barolo-albe-239801/,"Ett bra exempel på stilen till ett ""billigare"" pris. Aggressivt, men går definitivt att tygla om man inte orkar vänta ett par år för att dricka!","<p>Detta är ett fantastiskt vin from Piemonte i nordöstra Italien. Barolo är alltid gjort 100%&nbsp;på Nebbiolodruvan. Det är fortfarande väldigt ungt för en Barolo, men det dricker ändå väldigt bra!&nbsp;Man förväntar sig ett väldigt aggressivt vin, och det är det man får här. Höga tanniner, hög syra och het alkohol. VInet dekanteras med fördel för att tygla det lite. Passar perfekt till en fin köttbitt, varför inte en viltstek?&nbsp;Det funkar också bra att dricka till kraftiga ostar som lagrad cheddar eller gouda.</p><p>Sammanfattningsvis är det ett överraskande bra vin för priset och åldern. </p>",blek,rubinröd,markant,roda-korsbar; lader; hallon,torr,hög,hög,hög,mellan,markant,roda-korsbar; rott-vin-torkad-frukt; choklad; lader; hallon,lång,bra,83,"Ja, 1-8 år"
Bästa Crémant under 200pix,basta-cremant-under-200pix,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,63e40363572a143f3fe36aa4,false,false,Wed Feb 08 2023 20:17:39 GMT+0000 (Coordinated Universal Time),Fri Jun 30 2023 14:04:51 GMT+0000 (Coordinated Universal Time),Mon Jul 03 2023 17:31:50 GMT+0000 (Coordinated Universal Time),Clotilde Davenne,Brut Extra Crémant de Bourgogne,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/63e401602441cfc926ec21f3_Cremant.png,NV,Mousserande vin,155,Clotilde Davenne,Pinot-Noir; Chardonnay,bourgogne,Max-Eriksson,Frannkrike,Fast sortiment,https://www.systembolaget.se/produkt/vin/clotilde-davenne-772501/,En crémant med brödiga toner som påminner om champagne,"<p>En crémant från Bourgogne som sätter allt. Smak, pris mousse, inget att fundera på. En druvblandning på 60% pinot noir och 40% chardonnay. Redan på näsan finns det gott om brödiga toner. På tungan fortsätter brödet och ackompanjeras av äpple och grapefrukt. </p>",mellan,guld,mellan,brod; apple; grapefrukt,torr,mellan,låg,mellan,mellan,mellan,brod; kex; apple; grapefrukt,mellan,mycket bra,90,"Nej, drick direkt"
"Billig, enkel & bra Rioja",billig-enkel-bra-rioja,63011877e2abc526bcc215a8,653ad6a7e882f528b33c1eef,640c51fa4379a370832229a1,false,false,Sat Mar 11 2023 10:03:38 GMT+0000 (Coordinated Universal Time),Thu Mar 16 2023 13:41:44 GMT+0000 (Coordinated Universal Time),Thu Mar 16 2023 17:45:50 GMT+0000 (Coordinated Universal Time),Navajas,Crianza,https://uploads-ssl.webflow.com/62bde72a3afae280fa750baa/640c51a684373f17376c6ab2_13336_400.png,2018,Rött vin,95,Bodegas Navajas,tempranillo; garnacha; mazuelo,rioja,Fredrik-Gustafson,Spanien,Fast sortiment,https://www.systembolaget.se/produkt/vin/navajas-2265201/,"Sveriges favoritvin, Rioja! Här har får du en härlig pava för ett bra pris.","<p id=""""><strong id="""">Produktionsmetod:</strong><br>Vinet har lagrats 14 månader på amerikanska ekfat och sedan 14 månader på flaska innan det går ut till försäljning.</p><p id=""""><strong id="""">Passar till:</strong><br>Grillat! Gärna nötkött eller lamm. Går även att dricka utan mat då tanninerna är ganska milda.</p><p id=""""><strong id="""">Prisvärt?<br>‍</strong>Ja! Det smakar som en Rioja, ser ut som en Rioja och kostar bara 95:-! Kommer definitivt att köpas igen.</p><p id=""""><strong id="""">Övriga tankar:</strong><br>Det är enkelt att förstå varför så många gillar Rioja.&nbsp;Frukt &amp;&nbsp;vanilj med en len &amp;&nbsp;fyllig textur. Enkelt att gilla!&nbsp;Bjud gärna rödvinsskeptiker på detta vin!</p>",mellan,rubinröd,markant,roda-plommon; vanilj; ceder,torr,mellan,mellan,mellan,mellan,mellan,roda-korsbar; vanilj,mellan,bra,75,"Ja, 2-4 år - men absolut redo att drickas."
